,loan_id,loan_purpose,date,loan_granted,loan_repaid
207,252750,home,2012-07-17,1,1.0
208,674764,investment,2012-04-02,1,0.0
209,170222,business,2012-09-28,1,1.0
210,930815,investment,2012-03-26,1,0.0
211,736860,investment,2012-08-28,1,1.0
212,491263,business,2012-12-12,1,1.0
213,784141,emergency_funds,2012-06-25,0,
214,912089,emergency_funds,2012-04-24,1,1.0
215,598016,emergency_funds,2012-03-20,1,0.0
216,139856,other,2012-02-03,1,1.0
217,62227,other,2012-03-29,1,1.0
218,384512,other,2012-04-25,0,
219,804703,business,2012-11-21,0,
220,833925,other,2012-12-13,0,
221,909824,emergency_funds,2012-04-04,1,1.0
222,312214,business,2012-02-08,0,
223,71194,emergency_funds,2012-10-03,0,
224,610544,other,2012-07-04,1,0.0
225,547230,home,2012-01-18,0,
226,526224,investment,2012-03-12,0,
227,914285,other,2012-10-23,1,1.0
228,482148,emergency_funds,2012-05-21,1,0.0
229,561646,investment,2012-07-25,1,0.0
230,542203,investment,2012-07-13,0,
231,44053,investment,2012-10-09,1,0.0
232,645636,business,2012-09-21,1,1.0
233,132780,investment,2012-06-15,0,
234,78115,emergency_funds,2012-01-06,1,0.0
235,780068,emergency_funds,2012-04-19,1,1.0
236,560234,investment,2012-11-21,1,1.0
237,322569,other,2012-05-22,0,
238,263415,home,2012-01-18,1,1.0
239,651357,emergency_funds,2012-05-07,1,1.0
240,451712,home,2012-08-27,1,0.0
241,899414,investment,2012-01-30,1,1.0
242,524813,home,2012-04-26,1,0.0
243,552712,investment,2012-08-07,0,
244,348400,investment,2012-03-12,1,1.0
245,171072,investment,2012-07-19,0,
246,472863,home,2012-09-13,1,1.0
247,885748,home,2012-09-05,1,1.0
248,722076,home,2012-03-05,1,1.0
249,61758,home,2012-05-02,1,1.0
250,798783,business,2012-01-05,1,1.0
251,746485,business,2012-03-12,0,
252,849599,emergency_funds,2012-10-18,0,
253,81495,emergency_funds,2012-11-21,1,1.0
254,494932,emergency_funds,2012-03-06,0,
255,399167,emergency_funds,2012-10-23,1,0.0
256,150211,emergency_funds,2012-05-11,1,1.0
257,781066,business,2012-12-19,1,1.0
258,458291,business,2012-04-02,0,
259,546110,other,2012-12-10,0,
260,777489,investment,2012-07-25,0,
261,474368,other,2012-07-23,0,
262,831760,investment,2012-08-02,1,1.0
263,598765,home,2012-09-17,0,
264,991999,business,2012-12-12,0,
265,872077,emergency_funds,2012-09-18,1,1.0
266,34687,emergency_funds,2012-12-20,1,1.0
267,71304,investment,2012-07-10,0,
268,325548,emergency_funds,2012-12-25,0,
269,786169,home,2012-06-14,1,1.0
270,423828,home,2012-10-08,1,0.0
271,406699,emergency_funds,2012-01-17,0,
272,459232,home,2012-07-12,1,1.0
273,967959,other,2012-08-27,1,0.0
274,679408,investment,2012-09-21,1,1.0
275,251671,home,2012-10-22,1,0.0
276,330675,business,2012-11-16,0,
277,252227,business,2012-05-28,0,
278,877879,investment,2012-05-17,0,
279,476937,business,2012-09-10,1,1.0
280,360311,home,2012-02-13,0,
281,459183,emergency_funds,2012-11-01,1,0.0
282,245250,investment,2012-04-27,1,1.0
283,754229,emergency_funds,2012-10-26,1,0.0
284,833370,other,2012-10-16,0,
285,860606,business,2012-10-15,0,
286,963721,investment,2012-03-26,1,1.0
287,674220,investment,2012-05-11,1,0.0
288,342495,other,2012-09-25,1,1.0
289,970570,home,2012-03-29,0,
290,745792,investment,2012-11-23,0,
291,208219,investment,2012-09-26,0,
292,313851,business,2012-07-02,1,0.0
293,213491,emergency_funds,2012-11-27,1,1.0
294,989062,other,2012-10-05,0,
295,741424,business,2012-03-05,1,1.0
296,187114,emergency_funds,2012-10-12,0,
297,389632,home,2012-06-22,1,1.0
298,669888,business,2012-01-10,0,
299,467452,home,2012-07-16,1,1.0
300,73201,emergency_funds,2012-02-10,1,1.0
301,419828,investment,2012-10-03,1,1.0
302,19102,home,2012-06-15,1,1.0
303,593926,business,2012-07-09,1,0.0
304,744715,other,2012-10-22,0,
305,155501,emergency_funds,2012-12-05,0,
306,733749,business,2012-06-01,1,1.0
307,943786,investment,2012-02-14,1,1.0
308,341240,investment,2012-09-25,1,1.0
309,373766,business,2012-08-08,1,1.0
310,162792,business,2012-04-23,1,1.0
311,621653,other,2012-05-28,0,
312,224492,home,2012-07-27,0,
313,722186,emergency_funds,2012-10-30,0,
314,401465,other,2012-03-14,1,1.0
315,86579,emergency_funds,2012-01-02,1,0.0
316,256625,business,2012-03-16,1,0.0
317,367599,emergency_funds,2012-09-05,0,
318,11002,investment,2012-11-22,0,
319,881899,emergency_funds,2012-01-09,0,
320,658225,business,2012-08-13,1,0.0
321,487794,home,2012-06-26,0,
322,842778,investment,2012-11-07,0,
323,615506,business,2012-03-12,1,1.0
324,348526,home,2012-03-29,1,1.0
325,234193,other,2012-09-10,1,1.0
326,78421,business,2012-01-04,1,1.0
327,111700,home,2012-06-11,0,
328,233719,emergency_funds,2012-08-17,1,1.0
329,907779,other,2012-09-13,0,
330,674676,emergency_funds,2012-07-27,0,
331,169056,business,2012-06-11,0,
332,478677,home,2012-02-21,1,0.0
333,337847,investment,2012-06-27,1,0.0
334,602129,home,2012-05-07,0,
335,953795,investment,2012-04-24,1,1.0
336,83823,other,2012-05-28,1,1.0
337,645846,investment,2012-09-28,1,1.0
338,224613,home,2012-11-20,1,1.0
339,160936,home,2012-07-16,1,1.0
340,751373,emergency_funds,2012-07-17,1,1.0
341,778908,emergency_funds,2012-05-22,0,
342,900942,emergency_funds,2012-08-17,1,0.0
343,823877,business,2012-12-13,1,1.0
344,500624,business,2012-11-27,0,
345,479272,business,2012-02-07,1,1.0
346,457808,other,2012-10-01,1,1.0
347,228310,other,2012-07-25,0,
348,324846,other,2012-03-20,1,0.0
349,313751,other,2012-10-03,1,0.0
350,178004,investment,2012-10-17,1,1.0
351,156230,emergency_funds,2012-03-30,0,
352,840369,other,2012-10-22,0,
353,213232,home,2012-02-22,0,
354,553272,emergency_funds,2012-09-28,0,
355,776491,home,2012-06-14,0,
356,156296,home,2012-07-04,1,1.0
357,272692,business,2012-03-16,1,1.0
358,303523,home,2012-03-27,1,1.0
359,464090,home,2012-05-10,1,1.0
360,275825,home,2012-01-12,0,
361,713688,other,2012-10-25,0,
362,960518,home,2012-09-17,0,
363,557036,emergency_funds,2012-06-25,0,
364,855594,other,2012-05-01,0,
365,885964,home,2012-12-25,0,
366,54487,emergency_funds,2012-04-30,0,
367,475014,investment,2012-03-14,0,
368,848692,business,2012-10-29,1,1.0
369,434568,investment,2012-11-30,0,
370,659348,other,2012-12-06,0,
371,993456,emergency_funds,2012-08-08,1,1.0
372,665815,home,2012-09-04,0,
373,528265,home,2012-12-11,1,0.0
374,355096,home,2012-10-05,0,
375,140489,business,2012-02-07,1,0.0
376,802445,other,2012-02-06,1,0.0
377,739300,investment,2012-09-11,1,1.0
378,606271,home,2012-12-26,1,0.0
379,147315,business,2012-02-28,1,1.0
380,484236,emergency_funds,2012-03-07,0,
381,795309,other,2012-03-06,0,
382,697453,business,2012-06-05,1,1.0
383,121326,home,2012-10-03,0,
384,503463,emergency_funds,2012-11-02,1,0.0
385,357440,business,2012-05-28,1,1.0
386,107141,investment,2012-05-31,1,0.0
387,830317,emergency_funds,2012-10-08,0,
388,649144,home,2012-10-03,0,
389,601719,investment,2012-07-11,1,1.0
390,976275,business,2012-07-16,0,
391,296494,home,2012-04-02,1,0.0
392,586342,investment,2012-08-17,1,1.0
393,436160,other,2012-02-29,0,
394,96640,other,2012-11-27,1,1.0
395,861973,emergency_funds,2012-03-02,1,0.0
396,934381,other,2012-07-09,1,1.0
397,685981,home,2012-08-27,0,
398,105350,home,2012-05-29,0,
399,843847,emergency_funds,2012-01-06,1,0.0
400,177852,home,2012-05-24,1,0.0
401,62957,home,2012-05-14,1,1.0
402,31189,home,2012-11-27,1,1.0
403,343115,other,2012-11-01,0,
404,493369,emergency_funds,2012-05-11,0,
405,89499,other,2012-08-30,0,
406,892042,other,2012-01-11,0,
407,839889,home,2012-11-28,1,0.0
408,795358,investment,2012-09-13,1,1.0
409,500593,emergency_funds,2012-05-08,0,
410,631278,investment,2012-05-18,0,
411,604923,home,2012-05-15,0,
412,51763,investment,2012-03-23,0,
413,611206,emergency_funds,2012-11-05,0,
414,840944,home,2012-10-08,0,
415,237724,business,2012-01-23,1,1.0
416,315366,home,2012-01-04,0,
417,269111,emergency_funds,2012-08-01,0,
418,486382,business,2012-07-10,0,
419,910279,business,2012-04-30,1,1.0
420,610407,other,2012-05-17,0,
421,943886,home,2012-07-24,1,1.0
422,567263,business,2012-02-17,1,1.0
423,301631,other,2012-08-22,0,
424,872049,emergency_funds,2012-08-02,1,1.0
425,888568,home,2012-11-30,0,
426,536680,emergency_funds,2012-09-20,1,0.0
427,273571,other,2012-08-07,0,
428,806042,investment,2012-07-23,1,0.0
429,450437,other,2012-12-03,0,
430,423176,other,2012-06-12,1,1.0
431,81542,home,2012-05-30,0,
432,806700,emergency_funds,2012-04-16,1,0.0
433,356724,home,2012-10-08,1,1.0
434,710276,investment,2012-10-01,0,
435,598750,business,2012-08-10,1,1.0
436,359239,home,2012-03-08,1,0.0
437,315021,home,2012-01-10,0,
438,799465,investment,2012-01-16,1,1.0
439,539747,other,2012-01-10,0,
440,446799,business,2012-09-18,1,0.0
441,927419,emergency_funds,2012-07-25,1,0.0
442,385142,home,2012-06-14,1,0.0
443,875314,other,2012-01-17,0,
444,584319,emergency_funds,2012-01-16,0,
445,506398,other,2012-08-13,0,
446,367212,home,2012-11-09,1,1.0
447,140684,emergency_funds,2012-04-16,0,
448,121800,business,2012-06-07,0,
449,999202,investment,2012-10-11,0,
450,115333,emergency_funds,2012-03-06,0,
451,274146,business,2012-11-12,1,0.0
452,87368,investment,2012-07-30,0,
453,284002,home,2012-07-31,1,0.0
454,988531,investment,2012-01-04,0,
455,205483,emergency_funds,2012-11-27,0,
456,482177,business,2012-06-26,1,1.0
457,74071,business,2012-11-05,1,0.0
458,38596,investment,2012-06-04,0,
459,348169,emergency_funds,2012-02-07,0,
460,669551,home,2012-04-18,1,1.0
461,938538,emergency_funds,2012-07-16,0,
462,967908,investment,2012-11-27,1,1.0
463,241989,other,2012-09-05,0,
464,842926,business,2012-08-28,1,0.0
465,552662,emergency_funds,2012-02-29,0,
466,787392,business,2012-02-14,1,1.0
467,70752,investment,2012-03-26,0,
468,339900,business,2012-08-20,0,
469,476548,investment,2012-01-04,0,
470,441194,other,2012-08-13,0,
471,225892,investment,2012-07-23,1,1.0
472,900624,investment,2012-10-01,0,
473,907260,emergency_funds,2012-03-29,0,
474,483728,business,2012-08-23,1,1.0
475,826647,investment,2012-07-30,1,1.0
476,622575,other,2012-11-20,0,
477,132327,investment,2012-03-13,1,0.0
478,403736,business,2012-10-15,0,
479,311305,emergency_funds,2012-10-23,0,
480,564268,investment,2012-06-04,1,0.0
481,232270,business,2012-01-18,0,
482,324520,investment,2012-04-24,1,1.0
483,234856,investment,2012-11-06,0,
484,740582,home,2012-10-18,0,
485,84947,other,2012-01-20,1,1.0
486,151269,business,2012-04-03,0,
487,415541,home,2012-01-13,0,
488,865652,business,2012-06-04,0,
489,959670,business,2012-04-09,0,
490,361333,emergency_funds,2012-03-14,1,0.0
491,100386,investment,2012-04-18,0,
492,529284,home,2012-02-23,0,
493,351118,investment,2012-11-14,1,1.0
494,72531,home,2012-03-14,0,
495,876385,home,2012-12-05,1,1.0
496,125942,investment,2012-05-10,1,0.0
497,374944,business,2012-06-08,0,
498,550688,other,2012-08-09,0,
499,442249,business,2012-05-28,0,
500,410857,home,2012-06-18,1,1.0
501,133303,home,2012-07-13,1,1.0
502,230774,other,2012-08-21,0,
503,420317,other,2012-10-11,1,0.0
504,552109,investment,2012-06-11,0,
505,237648,emergency_funds,2012-09-20,0,
506,506848,investment,2012-10-24,0,
507,609997,investment,2012-04-06,0,
508,786538,other,2012-11-14,0,
509,605248,business,2012-09-17,0,
510,720291,investment,2012-04-17,0,
511,729735,investment,2012-05-23,0,
512,975602,investment,2012-11-12,0,
513,240812,business,2012-02-13,0,
514,423824,emergency_funds,2012-07-27,1,1.0
515,544338,home,2012-07-09,0,
516,858386,investment,2012-06-04,1,1.0
517,929506,business,2012-10-19,1,1.0
518,648298,home,2012-09-26,1,0.0
519,971609,investment,2012-08-22,1,1.0
520,860562,emergency_funds,2012-07-18,0,
521,159936,emergency_funds,2012-07-30,0,
522,679866,emergency_funds,2012-06-08,0,
523,668071,emergency_funds,2012-08-20,1,1.0
524,150525,emergency_funds,2012-10-24,1,1.0
525,342878,emergency_funds,2012-10-01,0,
526,173469,investment,2012-11-06,0,
527,681200,business,2012-05-01,0,
528,116030,investment,2012-03-28,1,1.0
529,817053,emergency_funds,2012-06-18,0,
530,754107,business,2012-02-14,1,0.0
531,3081,emergency_funds,2012-01-23,0,
532,65088,home,2012-05-17,1,1.0
533,753685,investment,2012-06-21,0,
534,839802,home,2012-04-02,0,
535,519527,home,2012-08-16,0,
536,198596,home,2012-04-02,0,
537,816941,investment,2012-04-20,1,1.0
538,900122,other,2012-03-23,0,
539,94831,business,2012-10-11,1,1.0
540,483136,investment,2012-03-06,0,
541,523437,emergency_funds,2012-11-13,1,0.0
542,597356,investment,2012-08-10,1,1.0
543,20702,home,2012-12-12,1,1.0
544,36123,business,2012-10-22,1,0.0
545,538761,home,2012-05-07,1,1.0
546,609792,home,2012-06-07,0,
547,938602,home,2012-01-12,1,1.0
548,931603,other,2012-08-30,0,
549,940587,home,2012-08-24,0,
550,263449,emergency_funds,2012-06-26,1,0.0
551,319648,investment,2012-12-27,0,
552,534770,business,2012-07-11,0,
553,652394,other,2012-09-10,0,
554,26757,emergency_funds,2012-09-06,0,
555,984452,home,2012-08-01,0,
556,436193,home,2012-05-16,0,
557,463305,investment,2012-10-17,1,0.0
558,806150,home,2012-11-13,1,0.0
559,326148,other,2012-03-20,0,
560,608345,other,2012-11-20,1,1.0
561,874416,emergency_funds,2012-07-04,0,
562,732566,business,2012-09-03,1,0.0
563,893474,investment,2012-10-08,0,
564,921027,investment,2012-07-10,0,
565,41018,home,2012-05-23,1,0.0
566,38929,other,2012-03-30,1,1.0
567,443731,home,2012-02-13,0,
568,210067,investment,2012-02-06,0,
569,434155,home,2012-06-19,0,
570,655597,business,2012-08-31,1,1.0
571,582821,investment,2012-01-10,0,
572,914324,business,2012-02-23,0,
573,916477,other,2012-09-19,0,
574,121723,business,2012-08-07,1,1.0
575,993496,investment,2012-12-28,1,1.0
576,790951,emergency_funds,2012-02-10,0,
577,632046,home,2012-06-14,0,
578,172174,business,2012-12-17,1,0.0
579,354786,business,2012-08-16,0,
580,614978,business,2012-11-08,0,
581,432316,other,2012-06-21,0,
582,173107,business,2012-03-27,0,
583,712420,home,2012-11-13,0,
584,60479,emergency_funds,2012-04-16,0,
585,384271,emergency_funds,2012-12-27,1,0.0
586,189463,other,2012-04-03,0,
587,782340,home,2012-10-09,1,0.0
588,688548,investment,2012-03-21,0,
589,364342,investment,2012-11-12,0,
590,486097,home,2012-03-14,1,1.0
591,332854,emergency_funds,2012-06-11,0,
592,695410,emergency_funds,2012-08-07,0,
593,973021,business,2012-11-13,1,1.0
594,573921,home,2012-12-06,0,
595,237971,business,2012-11-22,1,1.0
596,343898,other,2012-04-06,1,0.0
597,765928,other,2012-11-01,0,
598,803092,other,2012-11-28,0,
599,802622,home,2012-05-01,0,
600,491836,investment,2012-05-04,0,
601,94910,business,2012-07-17,0,
602,598415,investment,2012-05-15,0,
603,885773,emergency_funds,2012-01-09,1,0.0
604,339201,business,2012-11-23,0,
605,951629,home,2012-10-15,0,
606,690353,other,2012-11-16,0,
607,688200,business,2012-09-05,0,
608,249471,home,2012-09-17,0,
609,686734,investment,2012-08-13,0,
610,449939,emergency_funds,2012-05-07,1,0.0
611,52379,business,2012-08-27,0,
612,625127,investment,2012-11-13,1,0.0
613,949452,home,2012-01-31,1,1.0
614,387922,home,2012-06-05,0,
615,39749,business,2012-11-01,1,1.0
616,415995,home,2012-08-23,0,
617,276573,other,2012-05-30,0,
618,166051,business,2012-11-26,1,1.0
619,424182,business,2012-10-30,0,
620,963446,business,2012-06-27,0,
621,446954,business,2012-11-20,1,1.0
622,662084,other,2012-07-09,0,
623,169129,home,2012-03-05,1,1.0
624,859535,other,2012-12-18,1,1.0
625,208112,investment,2012-05-09,0,
626,873521,business,2012-01-17,0,
627,278431,investment,2012-06-28,0,
628,85723,investment,2012-04-09,0,
629,143950,other,2012-11-28,1,1.0
630,582682,business,2012-09-21,0,
631,978612,emergency_funds,2012-08-13,0,
632,235936,home,2012-05-03,1,1.0
633,891262,home,2012-06-21,0,
634,730155,other,2012-07-23,0,
635,75063,business,2012-07-11,0,
636,245345,investment,2012-04-11,1,1.0
637,396999,home,2012-06-27,1,1.0
638,945355,business,2012-11-19,0,
639,767690,business,2012-10-31,1,0.0
640,10579,home,2012-06-11,1,1.0
641,423598,home,2012-02-28,0,
642,129675,other,2012-05-10,0,
643,842475,home,2012-02-08,0,
644,671125,emergency_funds,2012-04-10,1,0.0
645,315334,investment,2012-12-06,1,0.0
646,788664,emergency_funds,2012-04-30,1,1.0
647,617367,emergency_funds,2012-06-22,1,1.0
648,500676,emergency_funds,2012-11-08,0,
649,896601,investment,2012-10-04,1,1.0
650,859358,investment,2012-12-12,1,0.0
651,355664,business,2012-11-14,1,0.0
652,440150,business,2012-12-25,1,1.0
653,124119,business,2012-09-19,0,
654,765797,investment,2012-09-26,1,1.0
655,520981,emergency_funds,2012-10-18,1,1.0
656,908234,emergency_funds,2012-06-13,0,
657,667415,investment,2012-09-03,0,
658,66314,home,2012-07-02,1,1.0
659,4063,emergency_funds,2012-06-21,1,0.0
660,767173,home,2012-04-04,0,
661,732401,emergency_funds,2012-10-25,0,
662,732485,investment,2012-09-07,1,1.0
663,730190,business,2012-08-15,0,
664,999906,business,2012-05-08,1,1.0
665,712241,home,2012-07-03,1,0.0
666,411587,home,2012-08-23,1,0.0
667,861479,home,2012-09-28,1,0.0
668,815538,investment,2012-06-21,0,
669,677102,investment,2012-04-04,0,
670,769321,home,2012-09-27,0,
671,922808,business,2012-09-18,0,
672,576657,business,2012-07-10,1,1.0
673,246564,emergency_funds,2012-06-11,0,
674,591213,business,2012-08-20,1,1.0
675,883303,home,2012-12-18,0,
676,764886,emergency_funds,2012-12-13,1,1.0
677,479531,investment,2012-11-15,0,
678,210189,home,2012-01-31,0,
679,551535,emergency_funds,2012-06-05,0,
680,774362,home,2012-05-29,1,0.0
681,513954,other,2012-08-20,0,
682,314835,home,2012-02-23,0,
683,395975,home,2012-07-31,0,
684,100603,home,2012-09-07,1,1.0
685,291767,emergency_funds,2012-08-08,0,
686,552836,emergency_funds,2012-12-03,0,
687,382798,business,2012-10-19,1,1.0
688,545468,home,2012-12-28,0,
689,307434,business,2012-07-11,1,1.0
690,360967,investment,2012-05-14,0,
691,42936,home,2012-06-07,1,1.0
692,94203,investment,2012-12-03,0,
693,932429,emergency_funds,2012-07-02,0,
694,389986,investment,2012-06-04,1,0.0
695,931327,business,2012-05-09,1,1.0
696,235657,emergency_funds,2012-06-21,1,1.0
697,629142,home,2012-07-31,0,
698,366461,emergency_funds,2012-10-01,1,1.0
699,219551,home,2012-08-22,0,
700,591497,home,2012-04-04,1,0.0
701,24659,other,2012-03-22,0,
702,686927,investment,2012-11-22,1,1.0
703,176236,emergency_funds,2012-06-04,0,
704,285163,other,2012-06-26,0,
705,447334,emergency_funds,2012-11-01,1,0.0
706,619441,business,2012-11-01,1,1.0
707,957739,other,2012-01-11,0,
708,93533,investment,2012-07-05,0,
709,320876,business,2012-12-18,1,1.0
710,166554,home,2012-10-31,0,
711,677975,emergency_funds,2012-08-27,0,
712,901458,home,2012-09-14,1,1.0
713,604947,emergency_funds,2012-01-23,0,
